受理单位,分类,主题,受理时间,办结时间,办理状态
部门,"
投诉
",雄安新区雄县高铁施工噪音干扰人民正常生活,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",从武汉返保定高阳人员需不需要隔离 有绿码,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸馆陶县金陶丽都900户业主没有房产证,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸市馆陶县金陶丽都买房十年没有不动产权证书,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州新华区泰和北区底商乱停车 建议规划停车位,"
2020-04-24
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市安联优越城购房三年多 迟迟没有房产证,"
2019-10-28
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山景泰翰林108、109楼开发商是否完成了初始登记,"
2019-12-06
","
2020-04-27
","已办结
"
部门,"
投诉
",河北衡水中华大街大庆路以北两侧慢车道坑洼难行,"
2020-04-16
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山香木林小区物业收取业主契税 十年不给办房本,"
2019-12-04
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区景泰翰林小区不给办理不动产权证,"
2019-12-11
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区新华一号的房子入住近十年未能办理房产证,"
2019-12-18
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路南新华一号10年未办房产证,"
2019-12-25
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路北区新华园小区房本十年未办理,"
2019-12-25
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路北区新华1号十年不给办理房本,"
2019-12-25
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山景泰翰林交房九年不办房本 望监管,"
2020-01-14
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山景泰翰林入住九年没有不动产权证,"
2020-03-31
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山市路北区景泰房本一直不给办,"
2020-01-14
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山河茵公寓房本迟迟不能办理,"
2020-04-01
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山卫国路蓝天楼入住20年 没房本,"
2020-04-13
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山鼎旺瑞景D区不通燃气迟迟没有房本,"
2020-04-13
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山丰南回迁居民房本是哪种？,"
2020-04-13
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山丰南区洪阳家园开发商迟迟不给办房本,"
2020-04-14
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山星河湾小区入住9年开发商未办理房产证,"
2020-04-17
","
2020-04-27
","已办结
"
沧州市新华区住建局,"
投诉
",沧州市新华区禧福荷堂的房子窗户漏风 物业说过保修期了,"
2020-04-16
","
2020-04-27
","已办结
"
沧州市运河区城市管理局,"
投诉
",河北省沧州市运河区小王庄镇前程子村耕地被占用,"
2020-04-01
","
2020-04-27
","已办结
"
石家庄市鹿泉区人社局,"
投诉
",河北石家庄鹿泉翠屏山迎宾馆员工工作时失明 无人问津,"
2020-04-26
","
2020-04-27
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台盛世WE公馆小户型退款难 18万元未退,"
2020-04-15
","
2020-04-27
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台御蓝庭签订退房手续一直不退款,"
2020-04-15
","
2020-04-27
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台豫北名城两年多未动工 盼退购房款,"
2020-04-16
","
2020-04-27
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",河北邯郸星魔方申请退房被扣一万元 至今不退,"
2020-04-16
","
2020-04-27
","已办结
"
唐山市丰润区住建局,"
投诉
",河北唐山丰润区浭阳锦园精装房防水不合格 墙面开裂,"
2020-04-21
","
2020-04-27
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",邯郸市丛台区三强房产捆绑销售地下室 不给办房产证,"
2020-04-24
","
2020-04-27
","已办结
"
唐山市丰润区住建局,"
咨询
",河北唐山丰润区冀新社区什么时候列入老旧小区改造计划？,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",从河北承德去邯郸武安需要隔离嘛,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",,"
2020-04-17
","
2020-04-27
","已办结
"
沧州市卫生健康委员会,"
投诉
",河北沧州市中心医院职工电梯不让病人使用,"
2020-04-22
","
2020-04-27
","已办结
"
衡水市桃城区卫生健康局,"
投诉
",河北衡水网上办理准生证快一个月 一直显示审核中,"
2020-04-26
","
2020-04-27
","已办结
"
省人力资源和社会保障厅,"
投诉
",,"
2020-04-26
","
2020-04-27
","已办结
"
高阳县文化教育局,"
投诉
",河北保定高阳县200名公开招录教师编制没了 请关注,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山国防道增盛路-车站路黄灯与绿灯一起亮,"
2020-04-24
","
2020-04-27
","已办结
"
清苑区公安局,"
咨询
",河北保定清苑区户口本如何更新？,"
2020-04-21
","
2020-04-27
","已办结
"
定兴县公安局,"
投诉
",河北保定定兴固城镇派出所不给两岁孩子办身份证 有依据吗？,"
2020-03-30
","
2020-04-27
","已办结
"
唐县公安局,"
投诉
",河北保定唐县白合高速口附近货车横行 每天堵车,"
2020-04-21
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山市北新道长期大量车辆违法停车,"
2020-04-23
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化阳光益众中学网课累死学生 周日全天写作业,"
2020-03-25
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化市第一中学长两月不放假 清明节考试,"
2020-04-03
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化阳光益众中学每天看屏幕十小时 眼保健操改成视频会,"
2020-03-25
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化阳光益众学校承诺放假一天不执行,"
2020-03-30
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化一中连上俩月网课 清明还要月考,"
2020-04-03
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化市第一中学两个月网课没假期 用眼过度,"
2020-03-30
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北邢台清河英伦城邦小区迟迟不交房,"
2020-04-26
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化第一中学开办网课 两个月没有一天休息,"
2020-03-30
","
2020-04-27
","已办结
"
景县住房和城乡建设局,"
投诉
",河北衡水景县名苑丽景逾期交房 何时交？,"
2020-04-20
","
2020-04-27
","已办结
"
景县住房和城乡建设局,"
投诉
",河北衡水市景县名苑丽景小区逾期不交房,"
2020-04-20
","
2020-04-27
","已办结
"
景县住房和城乡建设局,"
投诉
",河北衡水景县明苑丽景逾期不交房,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",保定安国顺城街车辆乱停乱放 影响通行,"
2019-09-27
","
2020-04-26
","已办结
"
部门,"
投诉
",湖北低风险地区返回河北廊坊 需要居家隔离吗？,"
2020-04-26
","
2020-04-26
","已办结
"
部门,"
投诉
",石家庄晋州市滨河路非法占道经营 占用盲道,"
2020-03-31
","
2020-04-26
","已办结
"
部门,"
投诉
",河北唐山市高新区爱信公司不分昼夜排放污染气体,"
2020-04-26
","
2020-04-26
","已办结
"
部门,"
投诉
",河北张家口宣化区跃进街道路改造工程迟迟没有动工,"
2020-04-23
","
2020-04-26
","已办结
"
承德双桥区住建局,"
投诉
",,"
2019-06-27
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港收取高额服务费,"
2020-03-30
","
2020-04-26
","已办结
"
隆化县卫生健康局,"
投诉
",,"
2020-04-20
","
2020-04-26
","已办结
"
唐山市卫生健康委员会,"
咨询
",河北唐山夫妻一方为外省户口 独生子女证如何办理？,"
2020-04-21
","
2020-04-26
","已办结
"
乐亭县卫生健康局,"
咨询
",五一期间安徽合肥到河北唐山乐亭还需要隔离嘛？,"
2020-04-21
","
2020-04-26
","已办结
"
唐山市卫生健康委员会,"
投诉
",河北唐山从外地返回人员是否需要隔离？,"
2020-04-26
","
2020-04-26
","已办结
"
武安市水利局,"
投诉
",邯郸武安兴荣巷自来水长期浑浊,"
2019-05-23
","
2020-04-26
","已办结
"
武安市水利局,"
投诉
",邯郸武安崔炉村河道有安全隐患,"
2019-04-21
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港无法签订网签合同,"
2020-03-31
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定京雄世贸港买房不退押金 望协调解决,"
2020-04-01
","
2020-04-26
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港购房定金迟迟不退,"
2020-04-01
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",外地复工返回河北廊坊永清小区强制要求去医院拍胸片,"
2020-03-02
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊永清县健康证明如何开？村里不知此事,"
2020-02-19
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊市永清县曹家务乡龙城21幸福家园小区何时解封,"
2020-03-27
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊市永清县刘其营乡二胎登记工作人员效率低,"
2020-01-15
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",廊坊永清县卫健局改厕工程事故频发 监管不严,"
2019-09-16
","
2020-04-26
","已办结
"
永清县卫生健康局,"
投诉
",河北廊坊市湖北籍复工人员需要开具哪些证明,"
2020-04-01
","
2020-04-26
","已办结
"
清河县市场监督管理局,"
投诉
",河北邢台市清河县君合盛房地产开发有限公司乱收费,"
2020-04-24
","
2020-04-26
","已办结
"
定州市人社局,"
投诉
",河北定州赛正装饰拒不支付农民工工资,"
2020-04-14
","
2020-04-26
","已办结
"
武邑县卫生健康局,"
咨询
",武汉人去河北衡水武邑需要隔离吗？已做核酸检测,"
2020-04-26
","
2020-04-26
","已办结
"
唐山市公安局交警支队,"
咨询
",河北唐山出租车消违章必须要从业资格证吗？,"
2020-04-23
","
2020-04-26
","已办结
"
廊坊市市场监督管理局,"
投诉
",廊坊市12315打不通,"
2019-12-20
","
2020-04-26
","已办结
"
廊坊市市场监督管理局,"
投诉
",廊坊优信二手车平台买车 拒不提档维权无门,"
2020-01-02
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北保定高速etc收费有疑问 望解释,"
2020-04-21
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北廊坊居民没车没ETC 省高速莫名来扣钱,"
2020-04-13
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北廊坊车主ETC多扣费 高速客服96122人工电话打不通,"
2020-04-07
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北邢台车辆上高速没用ETC 莫名被收钱,"
2020-04-03
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC小程序收费总额和银行扣款不一 反映十天无果,"
2020-03-27
","
2020-04-26
","已办结
"
三河市交通运输局,"
投诉
",河北廊坊三河301路公交测体温没必要接触皮肤 望采纳,"
2020-04-23
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄车主高速ETC扣费多达14次 咋回事？,"
2020-03-24
","
2020-04-26
","已办结
"
滦州市自然资源和规划局,"
投诉
",河北唐山滦州市小贺庄子村征地 去世老人承包地无偿收回,"
2020-04-26
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄市裕华区ETC多扣费,"
2020-01-15
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄裕华路高速口etc严重超额扣费,"
2020-01-19
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC扣款异常 多出款项没有记录,"
2020-01-08
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北石家庄小轿车走一次高速 连续三天被重复扣费,"
2020-01-13
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
求助
",廊坊市车主无法申办ETC,"
2019-12-12
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",首次申请ETC 却被告知已在河北发行办理,"
2019-12-16
","
2020-04-26
","已办结
"
石家庄市税务局,"
投诉
",河北石家庄赵县亿博上城2019交房代收契税,"
2020-04-15
","
2020-04-26
","已办结
"
石家庄市税务局,"
投诉
",河北石家庄井陉县楼盘未交房 税务局催收契税,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北ETC乱收费 车未动却被扣费,"
2020-03-18
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北张家口车主未上高速 却受到etc扣费信息,"
2020-03-17
","
2020-04-26
","已办结
"
承德双桥区住建局,"
投诉
",承德市大老虎沟路面坑洼难行 请尽快维修,"
2019-04-08
","
2020-04-26
","已办结
"
承德双桥区住建局,"
投诉
",承德市大老虎沟道路供暖施工破坏 至今未修复,"
2019-07-18
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北廊坊车主ETC双重扣费 无人解决,"
2020-03-17
","
2020-04-26
","已办结
"
沧州市新华区住建局,"
投诉
",河北沧州米苏阳光迟迟无法正常交房,"
2020-04-16
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北高速ETC乱收费,"
2020-03-13
","
2020-04-26
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台拉菲公庭商品房盖房缓慢 无限延期交房,"
2020-04-20
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北ETC高速公路多扣费,"
2020-03-13
","
2020-04-26
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北邢台车主仅上一次高速频繁被ETC扣费 投诉无门,"
2020-03-12
","
2020-04-26
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州市丰源帝景小区物业水费擅自涨价 盼监管,"
2020-04-23
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州美庭装饰公司不按合同办事 退款无果,"
2020-04-16
","
2020-04-27
","已办结
"
石家庄市鹿泉区人社局,"
投诉
",河北石家庄鹿泉区村民社保卡已制卡成功却未收到 到底在哪儿？,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸馆陶柳湖胜景何时能办不动产证,"
2020-04-26
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
投诉
",邯郸市涉县御湖天城不给业主开购房发票,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸市馆陶县柳湖圣景小区入住6年至今没办房产证,"
2020-04-26
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
投诉
",邯郸涉县君子居交房两年不办产权登记证,"
2020-04-26
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
求助
",邯郸涉县井店华润阳光城小区开发商不给业主办理房产证,"
2020-04-26
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州市富源天然气有限公司强行高价安装燃气报警器,"
2020-01-14
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸馆陶柳湖胜景入住3年多不办理房产证 何时办理？,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸市馆陶县柳湖胜景房产证10年未办,"
2020-04-26
","
2020-04-27
","已办结
"
张家口市市场监督管理局,"
投诉
",河北张家口宣化城上城收取高额物业费,"
2020-03-12
","
2020-04-27
","已办结
"
磁县生态环境局,"
投诉
",邯郸市磁县仁和路封路 因为有个空气质量监测点,"
2019-12-19
","
2020-04-27
","已办结
"
部门,"
投诉
",河北保定市红星美凯龙西北角十字路口建议安装红绿灯,"
2020-04-26
","
2020-04-27
","已办结
"
衡水市不动产登记局,"
投诉
",河北衡水宏福苑小区交房十年办不了房产证,"
2020-04-20
","
2020-04-27
","已办结
"
磁县生态环境局,"
投诉
",邯郸市磁县新世纪商场风机扰民,"
2019-08-15
","
2020-04-27
","已办结
"
廊坊市自然资源和规划局,"
投诉
",河北廊坊廊霸路新城林湾小区迟迟不给办理房本,"
2020-04-15
","
2020-04-27
","已办结
"
武安市生态环境局,"
投诉
",邯郸市武安市强制国三车安装DPF且指定地点安装,"
2019-12-03
","
2020-04-27
","已办结
"
部门,"
投诉
",河北衡水滏阳公馆半夜施工扰民 执法人员走后噪音继续,"
2020-03-13
","
2020-04-27
","已办结
"
恒大集团石家庄公司,"
投诉
",,"
2020-04-26
","
2020-04-27
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸武安市重污染天气建筑工地在施工,"
2019-12-18
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山古冶区北交通枢纽站存安全隐患 易发生危险,"
2020-01-17
","
2020-04-27
","已办结
"
邢台市桥西区住建局,"
投诉
",河北邢台三峰万和城迟迟不动工 一直让等,"
2020-04-26
","
2020-04-27
","已办结
"
邢台市桥西区住建局,"
投诉
",河北邢台三峰万和城房子何时能开工？,"
2020-04-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北保定裕隆街违建垃圾成堆 望清理,"
2020-04-01
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊安次区银河南路市政划停车位被占用,"
2020-04-20
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州沧县御景园垃圾随风飞 绿化变菜地,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邯郸市丛台区连城别苑消防通道建违章建筑无人管,"
2020-04-21
","
2020-04-27
","已办结
"
部门,"
投诉
",邯郸武安市体育路和游览街交叉口门店音响扰民,"
2020-01-21
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州青县义乌小区墙体保温大面积脱落,"
2020-03-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北石家庄良城逸园小区圈占公共绿地 安全隐患大,"
2020-03-17
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州青县北环路金海湾小区清洁车噪音扰民,"
2020-04-03
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊市公安局落户材料繁琐死板不透明,"
2020-04-22
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邯郸患者异地住院就医 社保无法报销,"
2020-04-23
","
2020-04-27
","已办结
"
部门,"
投诉
",河北石家庄新乐中燃翔科燃气层层转包煤改气工程 拖欠工资,"
2020-04-23
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邯郸婴儿去哪打疫苗？望告知,"
2020-03-18
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邯郸魏县去丛台区复工有健康证 还用隔离吗？,"
2020-03-08
","
2020-04-27
","已办结
"
部门,"
投诉
",河北省廊坊到邯郸是否需隔离？,"
2020-04-20
","
2020-04-27
","已办结
"
部门,"
投诉
",从湖北孝感返回河北邯郸需要隔离吗？,"
2020-04-20
","
2020-04-27
","已办结
"
部门,"
投诉
",江苏前往河北邯郸要隔离吗 有外地健康码,"
2020-03-31
","
2020-04-27
","已办结
"
部门,"
投诉
",沧州献县银都首付小区大门口没有减速带 车辆太快,"
2020-04-16
","
2020-04-27
","已办结
"
部门,"
投诉
",保定白沟国土局5点10分无工作人员 提前下班,"
2019-11-14
","
2020-04-27
","已办结
"
部门,"
投诉
",河北保定安国农民工想复工 可是安国车站不营运,"
2020-03-07
","
2020-04-27
","已办结
"
部门,"
投诉
",河北张家口计划生育网上办事大厅打不开,"
2020-03-30
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州沧县鹏程家园小区物业私圈停车位,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北张家口异地孕妇免费DNA孕检应落到实处,"
2020-04-03
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邯郸丛台区居民无工作 怎么开健康证明？,"
2020-03-10
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邯郸市丛台区住房装修何时复工？,"
2020-03-17
","
2020-04-27
","已办结
"
部门,"
投诉
",2020年5月1日从外省返回保定需要提供什么,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北辛集永安街东头公路两侧违停严重,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北邢台桥西区达活泉斜街占道经营现象反弹,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",雄安新区雄县高铁施工噪音干扰人民正常生活,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",从武汉返保定高阳人员需不需要隔离 有绿码,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸馆陶县金陶丽都900户业主没有房产证,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸市馆陶县金陶丽都买房十年没有不动产权证书,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州新华区泰和北区底商乱停车 建议规划停车位,"
2020-04-24
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市安联优越城购房三年多 迟迟没有房产证,"
2019-10-28
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山景泰翰林108、109楼开发商是否完成了初始登记,"
2019-12-06
","
2020-04-27
","已办结
"
部门,"
投诉
",河北衡水中华大街大庆路以北两侧慢车道坑洼难行,"
2020-04-16
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山香木林小区物业收取业主契税 十年不给办房本,"
2019-12-04
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区景泰翰林小区不给办理不动产权证,"
2019-12-11
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区新华一号的房子入住近十年未能办理房产证,"
2019-12-18
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路南新华一号10年未办房产证,"
2019-12-25
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路北区新华园小区房本十年未办理,"
2019-12-25
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路北区新华1号十年不给办理房本,"
2019-12-25
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山景泰翰林交房九年不办房本 望监管,"
2020-01-14
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山景泰翰林入住九年没有不动产权证,"
2020-03-31
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山市路北区景泰房本一直不给办,"
2020-01-14
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山河茵公寓房本迟迟不能办理,"
2020-04-01
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山卫国路蓝天楼入住20年 没房本,"
2020-04-13
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山鼎旺瑞景D区不通燃气迟迟没有房本,"
2020-04-13
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山丰南回迁居民房本是哪种？,"
2020-04-13
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山丰南区洪阳家园开发商迟迟不给办房本,"
2020-04-14
","
2020-04-27
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山星河湾小区入住9年开发商未办理房产证,"
2020-04-17
","
2020-04-27
","已办结
"
沧州市新华区住建局,"
投诉
",沧州市新华区禧福荷堂的房子窗户漏风 物业说过保修期了,"
2020-04-16
","
2020-04-27
","已办结
"
沧州市运河区城市管理局,"
投诉
",河北省沧州市运河区小王庄镇前程子村耕地被占用,"
2020-04-01
","
2020-04-27
","已办结
"
石家庄市鹿泉区人社局,"
投诉
",河北石家庄鹿泉翠屏山迎宾馆员工工作时失明 无人问津,"
2020-04-26
","
2020-04-27
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台盛世WE公馆小户型退款难 18万元未退,"
2020-04-15
","
2020-04-27
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台御蓝庭签订退房手续一直不退款,"
2020-04-15
","
2020-04-27
","已办结
"
邢台市桥东区住建局,"
投诉
",河北邢台豫北名城两年多未动工 盼退购房款,"
2020-04-16
","
2020-04-27
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",河北邯郸星魔方申请退房被扣一万元 至今不退,"
2020-04-16
","
2020-04-27
","已办结
"
唐山市丰润区住建局,"
投诉
",河北唐山丰润区浭阳锦园精装房防水不合格 墙面开裂,"
2020-04-21
","
2020-04-27
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",邯郸市丛台区三强房产捆绑销售地下室 不给办房产证,"
2020-04-24
","
2020-04-27
","已办结
"
唐山市丰润区住建局,"
咨询
",河北唐山丰润区冀新社区什么时候列入老旧小区改造计划？,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",从河北承德去邯郸武安需要隔离嘛,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",,"
2020-04-17
","
2020-04-27
","已办结
"
沧州市卫生健康委员会,"
投诉
",河北沧州市中心医院职工电梯不让病人使用,"
2020-04-22
","
2020-04-27
","已办结
"
衡水市桃城区卫生健康局,"
投诉
",河北衡水网上办理准生证快一个月 一直显示审核中,"
2020-04-26
","
2020-04-27
","已办结
"
省人力资源和社会保障厅,"
投诉
",,"
2020-04-26
","
2020-04-27
","已办结
"
高阳县文化教育局,"
投诉
",河北保定高阳县200名公开招录教师编制没了 请关注,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山国防道增盛路-车站路黄灯与绿灯一起亮,"
2020-04-24
","
2020-04-27
","已办结
"
清苑区公安局,"
咨询
",河北保定清苑区户口本如何更新？,"
2020-04-21
","
2020-04-27
","已办结
"
定兴县公安局,"
投诉
",河北保定定兴固城镇派出所不给两岁孩子办身份证 有依据吗？,"
2020-03-30
","
2020-04-27
","已办结
"
唐县公安局,"
投诉
",河北保定唐县白合高速口附近货车横行 每天堵车,"
2020-04-21
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山市北新道长期大量车辆违法停车,"
2020-04-23
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化阳光益众中学网课累死学生 周日全天写作业,"
2020-03-25
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化市第一中学长两月不放假 清明节考试,"
2020-04-03
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化阳光益众中学每天看屏幕十小时 眼保健操改成视频会,"
2020-03-25
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化阳光益众学校承诺放假一天不执行,"
2020-03-30
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化一中连上俩月网课 清明还要月考,"
2020-04-03
","
2020-04-27
","已办结
"
遵化市教育局,"
投诉
",河北唐山遵化市第一中学两个月网课没假期 用眼过度,"
2020-03-30
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北邢台清河英伦城邦小区迟迟不交房,"
2020-04-26
","
2020-04-27
","已办结
"
